axis_id,reference_index,known_joint_deg,raw_capture_file,observed_raw_count,status,fixture_requirement
thigh_l.flex,1,-30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.flex,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.abduct,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.abduct,2,7.5,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.abduct,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_l.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_l.flex,1,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_l.flex,2,20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.dorsiflex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.dorsiflex,2,-5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.dorsiflex,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.invert,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.invert,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_l.invert,3,25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_l.flex,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_l.flex,2,10.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_l.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.protract,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.protract,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.protract,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.elevate,1,-15.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.elevate,2,7.5,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
clavicle_r.elevate,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.flex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.flex,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.abduct,1,-30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.abduct,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.abduct,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
upperarm_r.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_r.flex,1,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_r.flex,2,20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
elbow_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_r.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_r.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
forearm_r.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.flex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.flex,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.deviate,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.deviate,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
hand_r.deviate,3,35.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.flex,1,-30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.flex,2,5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.abduct,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.abduct,2,7.5,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.abduct,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.twist,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.twist,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
thigh_r.twist,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_r.flex,1,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_r.flex,2,20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
calf_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.dorsiflex,1,-40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.dorsiflex,2,-5.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.dorsiflex,3,30.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.invert,1,-25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.invert,2,0.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
foot_r.invert,3,25.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_r.flex,1,-20.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_r.flex,2,10.0,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
ball_r.flex,3,40,,,未测,固定其他轴；相对该机械轴固定侧测角；量角不确定度目标≤0.5°
